Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
usmle_step3_score,resident_data,,text,USMLE Step 3 Score,,,integer,,,,,,,,,, 
comlex_step1_failure,resident_data,COMLEX Scores,yesno,COMLEX Step 1 Failure,,,,,,,,,,,,, 
comlex_step2_failure,resident_data,,yesno,COMLEX Step 2 Failure,,,,,,,,,,,,, 
comlex_step2_score,resident_data,,text,COMLEX Step 2 Score,,,integer,,,,,,,,,, 
comlex_step3_failure,resident_data,,yesno,COMLEX Step 3 Failure,,,,,,,,,,,,, 
comlex_step3_score,resident_data,,text,COMLEX Step 3 Score,,,integer,,,,,,,,,, 
abim_first_year,resident_data,,yesno,Took ABIM year of graduation? ,,,,,,,,,,,,,
abim_pass,resident_data,,yesno,1st time ABIM Pass? ,,,,,,,,,,,,,
npi,resident_data,,text,npi,,,number,,,,,,,,,,
mo_lic,resident_data,,text,MO License ##,,,,,,,,,,,,,
coach,resident_data,,dropdown,Resident Coach,"1, Shieh | 3, Pollard | 4, Kunnath | 5, Mar | 6, Purdy | 7, Kamel | 8, Freedle | 9, Cumming | 10, Reid | 11, Can | 13, Walentik | 14, Ferguson | 18, Wheeler | 16, Buckhold | 19, Morreale | 20, Bastin | 21, Robin | 22, Fernelius | 23, Kent | 24, Karches",,,,,,,,,,,,
coach_email,resident_data,,text,Coach email,,,email,,,,,,,,,, 
second_rev,resident_data,,text,Second Reviewer,,,,,,,,,,,,,
sec_email,resident_data,,text,Second email,,,email,,,,,,,,,,
access_code,resident_data,,text,Access Code ,,,,,,,,,,,,,
hs_mo,resident_data,,yesno,Did you get any of your high school education in Missouri?,,,,,,,,,,,,,
college_mo,resident_data,,yesno,"Did you have any college education (undergraduate, masters, or any credit) in Missouri",,,,,,,,,,,,,
med_mo,resident_data,,yesno,Did you go to medical school in Missouri?,,,,,,,,,,,,,
track,resident_data,,radio,Part of a track?,"1, Primary Care | 2, Hospitalist | 3, PROMOTE",,,,,,,,,,,,
slusom,resident_data,,yesno,SLUSOM ALumni?,,,,,,,,,,,,,
res_archive,resident_data,,yesno,Archived? ,,,,,,,,,,,,,
res_alumni_position,resident_data,,text,Current position ,,,,,,,,,,,,,
res_alumni_academic,resident_data,,yesno,Academic Medicine,,,,,,,,,,,,,
ssm,resident_data,,yesno,SSM?,,,,,,,,,,,,,
mo_prac,resident_data,,text,Practice in MO? ,,,,,,,,,,,,,
rural,resident_data,,yesno,Practice in rural setting,,,,,,,,,,,,,
und_urban,resident_data,,yesno,Practice in underserved urban setting? ,,,,,,,,,,,,,
grad_spec,resident_data,,dropdown,Specialty,"1, Allergy | 2, Cardiology | 3, Endocrinology | 4, Gastroenterology | 5, Geriatrics | 6, Hematology/Oncology | 7, Hospitalist | 8, Infectious Disease | 9, Nephrology | 10, Pulmonary / CC | 11, Rheumatology | 12, Addiction Medicine | 13, Palliative Care | 14, Primary Care | 15, Sleep Medicine | 16, Other",,,,,,,,,,,,
chief,resident_data,,yesno,Chief Resident? ,,,,,,,,,,,,,
grad_email,resident_data,,text,Graduate Email,,,email,,,,,,,,,,
grad_phone,resident_data,,text,grad phone,,,phone,,,,,,,,,,
im_practice,resident_data,,yesno,Practicing in IM? ,,,,,,,,,,,,,
